ID,Timestamp,Temperature (°C),Humidity (%),Gas Level (ppm),Noise Level (dB),System Alert,Alert Class
41,2025-04-01 09:40:00,32.8,72.7,105.1,52.0,"Gas, Noise Alert",1
42,2025-04-01 09:41:00,37.0,54.9,124.1,46.2,Gas Alert,0
43,2025-04-01 09:42:00,51.8,68.8,113.8,46.1,"Temp, Gas Alert",9
44,2025-04-01 09:43:00,34.0,61.2,133.6,62.4,"Gas, Noise Alert",1
45,2025-04-01 09:44:00,42.3,47.4,141.9,46.9,Gas Alert,0
46,2025-04-01 09:45:00,50.6,71.6,101.3,50.6,"Temp, Gas, Noise Alert",10
47,2025-04-01 09:46:00,53.9,40.5,157.2,54.3,"Temp, Gas, Noise Alert",10
48,2025-04-01 09:47:00,51.2,46.2,137.4,50.9,"Temp, Gas, Noise Alert",10
49,2025-04-01 09:48:00,49.6,68.3,149.5,52.4,"Temp, Gas, Noise Alert",10
50,2025-04-01 09:49:00,38.6,48.0,91.5,49.3,Normal,7
51,2025-04-01 09:50:00,36.4,42.6,124.8,39.0,Gas Alert,0
52,2025-04-01 09:51:00,49.4,59.8,119.8,42.8,"Temp, Gas Alert",9
53,2025-04-01 09:52:00,40.7,40.9,103.2,46.2,Gas Alert,0
54,2025-04-01 09:53:00,34.1,82.1,129.7,43.9,"Humidity, Gas Alert",3
55,2025-04-01 09:54:00,45.8,43.6,144.0,52.2,"Temp, Gas, Noise Alert",10
56,2025-04-01 09:55:00,33.9,70.5,119.8,45.1,Gas Alert,0
57,2025-04-01 09:56:00,33.3,53.9,86.4,44.4,Normal,7
58,2025-04-01 09:57:00,43.8,53.7,116.6,62.5,"Gas, Noise Alert",1
59,2025-04-01 09:58:00,53.4,65.5,135.4,59.1,"Temp, Gas, Noise Alert",10
60,2025-04-01 09:59:00,49.1,77.9,103.0,50.0,"Temp, Humidity, Gas Alert",12
61,2025-04-01 10:00:00,51.7,72.8,97.8,39.4,Temp Alert,8
62,2025-04-01 10:01:00,54.5,71.3,152.5,51.5,"Temp, Gas, Noise Alert",10
63,2025-04-01 10:02:00,41.0,72.7,93.7,42.6,Normal,7
64,2025-04-01 10:03:00,36.0,74.1,104.5,54.6,"Gas, Noise Alert",1
65,2025-04-01 10:04:00,46.4,80.0,144.4,46.8,"Temp, Humidity, Gas Alert",12
66,2025-04-01 10:05:00,35.7,76.2,122.4,53.4,"Humidity, Gas, Noise Alert",4
67,2025-04-01 10:06:00,33.5,43.9,89.5,55.5,Noise Alert,6
68,2025-04-01 10:07:00,50.8,75.2,99.2,61.2,"Temp, Humidity, Noise Alert",14
69,2025-04-01 10:08:00,54.8,49.7,104.5,56.6,"Temp, Gas, Noise Alert",10
70,2025-04-01 10:09:00,45.9,62.6,81.6,54.6,"Temp, Noise Alert",15
71,2025-04-01 10:10:00,44.5,62.0,93.2,59.3,Noise Alert,6
72,2025-04-01 10:11:00,46.3,48.4,92.5,38.3,Temp Alert,8
73,2025-04-01 10:12:00,44.6,71.2,146.9,41.5,Gas Alert,0
74,2025-04-01 10:13:00,34.0,65.2,117.8,41.7,Gas Alert,0
75,2025-04-01 10:14:00,45.8,80.1,159.9,61.6,"Temp, Humidity, Gas, Noise Alert",13
76,2025-04-01 10:15:00,47.9,77.3,139.9,63.8,"Temp, Humidity, Gas, Noise Alert",13
77,2025-04-01 10:16:00,46.4,73.2,151.4,38.8,"Temp, Gas Alert",9
78,2025-04-01 10:17:00,45.0,74.2,118.1,60.6,"Gas, Noise Alert",1
79,2025-04-01 10:18:00,50.3,63.6,109.4,55.0,"Temp, Gas, Noise Alert",10
80,2025-04-01 10:19:00,45.8,55.1,152.7,56.2,"Temp, Gas, Noise Alert",10
81,2025-04-01 10:20:00,44.5,44.6,138.7,60.0,"Gas, Noise Alert",1
82,2025-04-01 10:21:00,48.4,55.0,114.1,63.4,"Temp, Gas, Noise Alert",10
83,2025-04-01 10:22:00,47.7,44.0,93.1,51.9,"Temp, Noise Alert",15
84,2025-04-01 10:23:00,50.7,47.5,94.8,40.0,Temp Alert,8
85,2025-04-01 10:24:00,42.5,85.0,107.1,64.0,"Humidity, Gas, Noise Alert",4
86,2025-04-01 10:25:00,53.1,57.7,83.1,41.7,Temp Alert,8
87,2025-04-01 10:26:00,33.4,81.2,81.5,39.4,Humidity Alert,2
88,2025-04-01 10:27:00,47.0,61.1,128.4,52.3,"Temp, Gas, Noise Alert",10
89,2025-04-01 10:28:00,51.2,55.0,84.3,50.7,"Temp, Noise Alert",15
90,2025-04-01 10:29:00,31.9,54.6,148.5,41.9,Gas Alert,0
91,2025-04-01 10:30:00,38.8,40.6,90.9,43.0,Normal,7
92,2025-04-01 10:31:00,36.5,84.1,94.3,54.3,"Humidity, Noise Alert",5
93,2025-04-01 10:32:00,42.3,76.4,83.3,50.3,"Humidity, Noise Alert",5
94,2025-04-01 10:33:00,35.9,80.8,135.9,44.5,"Humidity, Gas Alert",3
95,2025-04-01 10:34:00,39.8,56.5,129.7,54.4,"Gas, Noise Alert",1
96,2025-04-01 10:35:00,43.5,78.8,91.2,58.7,"Humidity, Noise Alert",5
97,2025-04-01 10:36:00,30.5,47.0,142.8,58.2,"Gas, Noise Alert",1
98,2025-04-01 10:37:00,41.2,72.0,95.4,40.0,Normal,7
99,2025-04-01 10:38:00,52.7,48.4,117.8,49.3,"Temp, Gas Alert",9
100,2025-04-01 10:39:00,45.6,83.4,141.2,56.3,"Temp, Humidity, Gas, Noise Alert",13
101,2025-04-01 10:40:00,44.5,47.5,137.2,38.2,Gas Alert,0
102,2025-04-01 10:41:00,49.9,60.6,90.0,46.8,Temp Alert,8
103,2025-04-01 10:42:00,52.6,42.2,95.0,41.7,Temp Alert,8
104,2025-04-01 10:43:00,42.6,61.6,82.0,52.1,Noise Alert,6
105,2025-04-01 10:44:00,39.3,68.7,133.2,38.9,Gas Alert,0
106,2025-04-01 10:45:00,36.5,71.5,98.6,37.1,Normal,7
107,2025-04-01 10:46:00,39.6,56.3,141.5,58.6,"Gas, Noise Alert",1
108,2025-04-01 10:47:00,46.5,57.9,151.3,52.7,"Temp, Gas, Noise Alert",10
109,2025-04-01 10:48:00,40.3,46.6,147.5,59.6,"Gas, Noise Alert",1
110,2025-04-01 10:49:00,45.8,66.1,144.5,53.7,"Temp, Gas, Noise Alert",10
111,2025-04-01 10:50:00,46.6,80.4,111.7,54.6,"Temp, Humidity, Gas, Noise Alert",13
112,2025-04-01 10:51:00,33.4,50.3,95.7,49.0,Normal,7
113,2025-04-01 10:52:00,37.9,83.0,150.1,36.8,"Humidity, Gas Alert",3
114,2025-04-01 10:53:00,38.6,47.1,100.2,54.1,"Gas, Noise Alert",1
115,2025-04-01 10:54:00,32.9,67.3,121.5,53.5,"Gas, Noise Alert",1
116,2025-04-01 10:55:00,37.9,57.0,109.1,38.2,Gas Alert,0
117,2025-04-01 10:56:00,39.6,44.6,155.6,44.9,Gas Alert,0
118,2025-04-01 10:57:00,52.8,57.5,139.8,51.3,"Temp, Gas, Noise Alert",10
119,2025-04-01 10:58:00,31.5,49.5,132.5,39.1,Gas Alert,0
120,2025-04-01 10:59:00,45.5,82.8,92.6,44.1,"Temp, Humidity Alert",11
121,2025-04-01 11:00:00,44.9,42.5,88.9,50.2,Noise Alert,6
122,2025-04-01 11:01:00,39.2,56.1,109.8,54.1,"Gas, Noise Alert",1
123,2025-04-01 11:02:00,52.0,68.4,141.7,53.4,"Temp, Gas, Noise Alert",10
124,2025-04-01 11:03:00,44.8,56.5,138.0,58.8,"Gas, Noise Alert",1
125,2025-04-01 11:04:00,53.0,56.8,137.6,60.0,"Temp, Gas, Noise Alert",10
126,2025-04-01 11:05:00,31.9,40.2,156.1,59.5,"Gas, Noise Alert",1
127,2025-04-01 11:06:00,49.6,55.0,115.1,42.5,"Temp, Gas Alert",9
128,2025-04-01 11:07:00,40.5,84.5,92.1,58.8,"Humidity, Noise Alert",5
129,2025-04-01 11:08:00,45.1,80.2,97.2,48.1,"Temp, Humidity Alert",11
130,2025-04-01 11:09:00,45.0,45.2,116.0,63.1,"Gas, Noise Alert",1
131,2025-04-01 11:10:00,46.8,51.1,135.9,37.5,"Temp, Gas Alert",9
132,2025-04-01 11:11:00,47.4,46.2,104.7,40.2,"Temp, Gas Alert",9
133,2025-04-01 11:12:00,30.1,84.1,92.5,42.0,Humidity Alert,2
134,2025-04-01 11:13:00,35.0,52.1,87.2,46.9,Normal,7
135,2025-04-01 11:14:00,53.8,50.5,101.3,49.2,"Temp, Gas Alert",9
136,2025-04-01 11:15:00,52.8,50.9,109.7,39.7,"Temp, Gas Alert",9
137,2025-04-01 11:16:00,44.9,43.3,115.6,40.4,Gas Alert,0
138,2025-04-01 11:17:00,43.8,52.1,101.9,46.0,Gas Alert,0
139,2025-04-01 11:18:00,43.9,58.8,143.0,51.0,"Gas, Noise Alert",1
140,2025-04-01 11:19:00,34.7,45.5,107.7,36.0,Gas Alert,0
141,2025-04-01 11:20:00,32.7,72.6,118.1,53.6,"Gas, Noise Alert",1
142,2025-04-01 11:21:00,51.3,41.3,86.3,49.7,Temp Alert,8
143,2025-04-01 11:22:00,36.0,51.3,88.6,49.0,Normal,7
144,2025-04-01 11:23:00,34.3,57.2,94.1,59.2,Noise Alert,6
145,2025-04-01 11:24:00,31.9,47.2,131.0,41.6,Gas Alert,0
146,2025-04-01 11:25:00,54.8,45.8,122.2,56.2,"Temp, Gas, Noise Alert",10
147,2025-04-01 11:26:00,30.2,49.2,142.7,45.7,Gas Alert,0
148,2025-04-01 11:27:00,54.0,51.7,142.8,43.3,"Temp, Gas Alert",9
149,2025-04-01 11:28:00,33.9,67.0,145.7,44.7,Gas Alert,0
150,2025-04-01 11:29:00,42.5,70.2,118.5,55.1,"Gas, Noise Alert",1
151,2025-04-01 11:30:00,33.7,78.0,106.2,61.9,"Humidity, Gas, Noise Alert",4
152,2025-04-01 11:31:00,55.0,74.9,140.4,39.4,"Temp, Gas Alert",9
153,2025-04-01 11:32:00,41.8,56.6,158.6,60.2,"Gas, Noise Alert",1
154,2025-04-01 11:33:00,50.1,77.3,98.4,38.5,"Temp, Humidity Alert",11
155,2025-04-01 11:34:00,45.7,42.4,146.9,46.6,"Temp, Gas Alert",9
156,2025-04-01 11:35:00,31.9,47.9,83.1,51.1,Noise Alert,6
157,2025-04-01 11:36:00,53.3,50.9,119.5,57.3,"Temp, Gas, Noise Alert",10
158,2025-04-01 11:37:00,44.2,73.9,112.7,46.6,Gas Alert,0
159,2025-04-01 11:38:00,33.8,74.3,103.9,39.2,Gas Alert,0
160,2025-04-01 11:39:00,46.0,61.0,141.1,60.2,"Temp, Gas, Noise Alert",10
161,2025-04-01 11:40:00,52.8,84.7,80.3,53.9,"Temp, Humidity, Noise Alert",14
162,2025-04-01 11:41:00,39.5,50.4,80.4,57.8,Noise Alert,6
163,2025-04-01 11:42:00,41.4,61.0,123.5,47.9,Gas Alert,0
164,2025-04-01 11:43:00,49.0,67.1,113.7,59.3,"Temp, Gas, Noise Alert",10
165,2025-04-01 11:44:00,42.9,79.0,101.4,35.5,"Humidity, Gas Alert",3
166,2025-04-01 11:45:00,41.8,40.2,150.2,63.2,"Gas, Noise Alert",1
167,2025-04-01 11:46:00,40.4,46.8,143.1,64.5,"Gas, Noise Alert",1
168,2025-04-01 11:47:00,44.6,80.2,157.5,58.9,"Humidity, Gas, Noise Alert",4
169,2025-04-01 11:48:00,31.1,66.0,80.7,50.7,Noise Alert,6
170,2025-04-01 11:49:00,45.2,58.4,121.4,41.1,"Temp, Gas Alert",9
171,2025-04-01 11:50:00,35.8,57.8,124.8,42.5,Gas Alert,0
172,2025-04-01 11:51:00,40.2,43.9,104.4,62.9,"Gas, Noise Alert",1
173,2025-04-01 11:52:00,49.5,70.6,85.4,43.2,Temp Alert,8
174,2025-04-01 11:53:00,51.5,72.5,126.5,60.8,"Temp, Gas, Noise Alert",10
175,2025-04-01 11:54:00,54.1,44.7,92.0,44.3,Temp Alert,8
176,2025-04-01 11:55:00,54.7,60.0,138.7,41.1,"Temp, Gas Alert",9
177,2025-04-01 11:56:00,46.9,73.2,143.1,44.7,"Temp, Gas Alert",9
178,2025-04-01 11:57:00,33.0,62.4,116.7,61.5,"Gas, Noise Alert",1
179,2025-04-01 11:58:00,34.6,63.3,105.3,35.3,Gas Alert,0
180,2025-04-01 11:59:00,47.4,64.1,153.7,54.4,"Temp, Gas, Noise Alert",10
181,2025-04-01 12:00:00,38.1,64.5,156.0,45.9,Gas Alert,0
182,2025-04-01 12:01:00,53.5,75.9,150.9,59.5,"Temp, Humidity, Gas, Noise Alert",13
183,2025-04-01 12:02:00,44.9,63.6,146.3,58.5,"Gas, Noise Alert",1
184,2025-04-01 12:03:00,51.9,80.5,155.4,52.8,"Temp, Humidity, Gas, Noise Alert",13
185,2025-04-01 12:04:00,40.3,63.1,142.8,63.5,"Gas, Noise Alert",1
186,2025-04-01 12:05:00,36.6,83.2,149.0,53.4,"Humidity, Gas, Noise Alert",4
187,2025-04-01 12:06:00,49.3,65.0,92.7,55.7,"Temp, Noise Alert",15
188,2025-04-01 12:07:00,46.3,49.6,149.2,57.0,"Temp, Gas, Noise Alert",10
189,2025-04-01 12:08:00,48.4,72.3,135.1,53.9,"Temp, Gas, Noise Alert",10
190,2025-04-01 12:09:00,38.9,53.6,93.8,45.5,Normal,7
191,2025-04-01 12:10:00,52.5,69.6,86.0,63.8,"Temp, Noise Alert",15
192,2025-04-01 12:11:00,43.7,63.1,116.5,47.8,Gas Alert,0
193,2025-04-01 12:12:00,49.9,65.8,109.3,59.1,"Temp, Gas, Noise Alert",10
194,2025-04-01 12:13:00,33.8,66.9,130.6,60.2,"Gas, Noise Alert",1
195,2025-04-01 12:14:00,40.0,55.0,87.3,52.1,Noise Alert,6
196,2025-04-01 12:15:00,54.5,59.1,87.0,63.4,"Temp, Noise Alert",15
197,2025-04-01 12:16:00,38.5,47.0,86.3,44.0,Normal,7
198,2025-04-01 12:17:00,51.9,40.6,83.1,37.4,Temp Alert,8
199,2025-04-01 12:18:00,33.0,57.9,99.9,41.9,Normal,7
200,2025-04-01 12:19:00,54.1,75.3,154.6,52.1,"Temp, Humidity, Gas, Noise Alert",13
201,2025-04-01 12:20:00,30.7,79.1,98.1,48.8,Humidity Alert,2
202,2025-04-01 12:21:00,48.3,62.9,125.4,39.4,"Temp, Gas Alert",9
203,2025-04-01 12:22:00,32.4,48.0,129.1,58.1,"Gas, Noise Alert",1
204,2025-04-01 12:23:00,53.4,79.0,94.8,39.0,"Temp, Humidity Alert",11
205,2025-04-01 12:24:00,33.5,57.9,136.1,53.0,"Gas, Noise Alert",1
206,2025-04-01 12:25:00,51.2,64.4,84.1,37.4,Temp Alert,8
207,2025-04-01 12:26:00,47.8,80.9,88.5,61.0,"Temp, Humidity, Noise Alert",14
208,2025-04-01 12:27:00,52.8,70.3,89.0,63.5,"Temp, Noise Alert",15
209,2025-04-01 12:28:00,48.7,59.4,100.9,54.4,"Temp, Gas, Noise Alert",10
210,2025-04-01 12:29:00,43.0,73.3,124.6,54.6,"Gas, Noise Alert",1
211,2025-04-01 12:30:00,41.8,49.4,146.7,47.5,Gas Alert,0
212,2025-04-01 12:31:00,37.7,61.6,83.6,38.5,Normal,7
213,2025-04-01 12:32:00,43.7,76.6,112.3,59.4,"Humidity, Gas, Noise Alert",4
214,2025-04-01 12:33:00,49.7,53.7,156.7,58.6,"Temp, Gas, Noise Alert",10
215,2025-04-01 12:34:00,46.5,63.4,144.3,48.0,"Temp, Gas Alert",9
216,2025-04-01 12:35:00,37.7,80.2,97.5,39.4,Humidity Alert,2
217,2025-04-01 12:36:00,32.9,67.5,110.3,52.6,"Gas, Noise Alert",1
218,2025-04-01 12:37:00,34.9,83.5,100.0,48.6,Humidity Alert,2
219,2025-04-01 12:38:00,33.0,64.1,123.6,37.8,Gas Alert,0
220,2025-04-01 12:39:00,34.7,70.4,128.9,41.1,Gas Alert,0
221,2025-04-01 12:40:00,52.2,62.6,141.9,45.7,"Temp, Gas Alert",9
222,2025-04-01 12:41:00,35.8,79.5,129.3,56.4,"Humidity, Gas, Noise Alert",4
223,2025-04-01 12:42:00,47.4,58.0,119.5,60.3,"Temp, Gas, Noise Alert",10
224,2025-04-01 12:43:00,44.5,65.2,99.1,54.2,Noise Alert,6
225,2025-04-01 12:44:00,51.5,45.4,112.6,55.6,"Temp, Gas, Noise Alert",10
226,2025-04-01 12:45:00,35.6,68.7,115.0,58.9,"Gas, Noise Alert",1
227,2025-04-01 12:46:00,31.5,68.6,136.9,46.0,Gas Alert,0
228,2025-04-01 12:47:00,47.0,77.6,158.5,47.9,"Temp, Humidity, Gas Alert",12
229,2025-04-01 12:48:00,47.8,56.5,159.7,56.2,"Temp, Gas, Noise Alert",10
230,2025-04-01 12:49:00,49.2,65.9,95.7,50.4,"Temp, Noise Alert",15
231,2025-04-01 12:50:00,45.1,62.3,88.1,42.7,Temp Alert,8
232,2025-04-01 12:51:00,30.7,46.8,135.9,55.9,"Gas, Noise Alert",1
233,2025-04-01 12:52:00,39.0,47.3,101.0,37.1,Gas Alert,0
234,2025-04-01 12:53:00,37.7,46.1,136.9,58.3,"Gas, Noise Alert",1
235,2025-04-01 12:54:00,34.7,72.3,113.9,59.4,"Gas, Noise Alert",1
236,2025-04-01 12:55:00,48.9,79.7,152.2,47.2,"Temp, Humidity, Gas Alert",12
237,2025-04-01 12:56:00,45.4,79.0,107.3,46.8,"Temp, Humidity, Gas Alert",12
238,2025-04-01 12:57:00,47.8,65.8,107.0,61.6,"Temp, Gas, Noise Alert",10
239,2025-04-01 12:58:00,49.3,63.3,124.3,45.5,"Temp, Gas Alert",9
240,2025-04-01 12:59:00,54.0,45.4,117.9,36.9,"Temp, Gas Alert",9
241,2025-04-01 13:00:00,51.4,45.2,92.1,40.1,Temp Alert,8
242,2025-04-01 13:01:00,53.0,54.1,113.9,64.0,"Temp, Gas, Noise Alert",10
243,2025-04-01 13:02:00,32.8,82.9,103.9,42.8,"Humidity, Gas Alert",3
244,2025-04-01 13:03:00,34.1,60.6,126.4,38.9,Gas Alert,0
245,2025-04-01 13:04:00,48.3,52.7,128.5,50.0,"Temp, Gas Alert",9
246,2025-04-01 13:05:00,43.0,58.8,152.1,59.5,"Gas, Noise Alert",1
247,2025-04-01 13:06:00,39.8,57.3,100.1,52.9,"Gas, Noise Alert",1
248,2025-04-01 13:07:00,49.3,67.8,147.7,39.4,"Temp, Gas Alert",9
249,2025-04-01 13:08:00,48.9,54.5,123.7,40.0,"Temp, Gas Alert",9
250,2025-04-01 13:09:00,34.5,61.9,113.0,46.9,Gas Alert,0
251,2025-04-01 13:10:00,31.8,56.8,145.2,39.3,Gas Alert,0
252,2025-04-01 13:11:00,49.8,55.1,90.4,55.7,"Temp, Noise Alert",15
253,2025-04-01 13:12:00,53.3,76.0,147.8,49.1,"Temp, Humidity, Gas Alert",12
254,2025-04-01 13:13:00,41.7,79.3,93.8,48.8,Humidity Alert,2
255,2025-04-01 13:14:00,54.2,66.4,141.3,56.4,"Temp, Gas, Noise Alert",10
256,2025-04-01 13:15:00,33.2,61.8,134.0,46.0,Gas Alert,0
257,2025-04-01 13:16:00,39.3,52.3,120.2,53.8,"Gas, Noise Alert",1
258,2025-04-01 13:17:00,31.9,41.9,106.4,38.7,Gas Alert,0
259,2025-04-01 13:18:00,49.2,57.8,153.5,58.0,"Temp, Gas, Noise Alert",10
260,2025-04-01 13:19:00,49.4,56.2,138.2,63.8,"Temp, Gas, Noise Alert",10
261,2025-04-01 13:20:00,34.4,51.5,152.3,42.8,Gas Alert,0
262,2025-04-01 13:21:00,43.8,82.0,98.8,57.4,"Humidity, Noise Alert",5
263,2025-04-01 13:22:00,48.2,80.1,93.2,48.9,"Temp, Humidity Alert",11
264,2025-04-01 13:23:00,37.0,55.7,153.0,55.2,"Gas, Noise Alert",1
265,2025-04-01 13:24:00,39.3,76.4,112.1,63.6,"Humidity, Gas, Noise Alert",4
266,2025-04-01 13:25:00,48.0,52.2,146.5,59.8,"Temp, Gas, Noise Alert",10
267,2025-04-01 13:26:00,39.1,62.9,120.0,50.3,"Gas, Noise Alert",1
268,2025-04-01 13:27:00,48.1,62.3,146.7,54.5,"Temp, Gas, Noise Alert",10
269,2025-04-01 13:28:00,44.0,74.3,107.2,59.7,"Gas, Noise Alert",1
270,2025-04-01 13:29:00,31.9,77.5,103.2,47.7,"Humidity, Gas Alert",3
271,2025-04-01 13:30:00,37.8,70.9,108.3,61.9,"Gas, Noise Alert",1
272,2025-04-01 13:31:00,31.2,60.7,110.9,43.6,Gas Alert,0
273,2025-04-01 13:32:00,45.2,83.3,140.7,62.0,"Temp, Humidity, Gas, Noise Alert",13
274,2025-04-01 13:33:00,40.1,68.5,141.0,60.3,"Gas, Noise Alert",1
275,2025-04-01 13:34:00,34.3,67.8,96.4,54.0,Noise Alert,6
276,2025-04-01 13:35:00,41.1,40.6,120.1,44.1,Gas Alert,0
277,2025-04-01 13:36:00,36.5,67.8,88.6,62.8,Noise Alert,6
278,2025-04-01 13:37:00,43.1,47.6,140.6,57.3,"Gas, Noise Alert",1
279,2025-04-01 13:38:00,46.7,62.9,126.1,53.8,"Temp, Gas, Noise Alert",10
280,2025-04-01 13:39:00,30.3,84.4,126.7,63.5,"Humidity, Gas, Noise Alert",4
281,2025-04-01 13:40:00,31.4,55.1,131.4,49.9,Gas Alert,0
282,2025-04-01 13:41:00,42.5,53.9,86.6,56.0,Noise Alert,6
283,2025-04-01 13:42:00,45.7,74.8,112.7,54.8,"Temp, Gas, Noise Alert",10
284,2025-04-01 13:43:00,48.4,53.6,117.1,58.3,"Temp, Gas, Noise Alert",10
285,2025-04-01 13:44:00,43.7,82.1,128.9,53.0,"Humidity, Gas, Noise Alert",4
286,2025-04-01 13:45:00,46.7,75.6,93.8,54.6,"Temp, Humidity, Noise Alert",14
287,2025-04-01 13:46:00,54.3,55.4,94.3,56.1,"Temp, Noise Alert",15
288,2025-04-01 13:47:00,42.1,69.9,150.7,38.9,Gas Alert,0
289,2025-04-01 13:48:00,39.3,63.9,104.0,43.5,Gas Alert,0
290,2025-04-01 13:49:00,46.2,67.7,107.0,57.4,"Temp, Gas, Noise Alert",10
291,2025-04-01 13:50:00,47.9,73.0,145.6,45.8,"Temp, Gas Alert",9
292,2025-04-01 13:51:00,50.1,74.0,121.6,51.0,"Temp, Gas, Noise Alert",10
293,2025-04-01 13:52:00,54.7,40.8,114.3,42.5,"Temp, Gas Alert",9
294,2025-04-01 13:53:00,46.7,49.9,80.4,59.2,"Temp, Noise Alert",15
295,2025-04-01 13:54:00,38.2,80.6,88.9,42.4,Humidity Alert,2
296,2025-04-01 13:55:00,54.0,56.0,110.9,55.5,"Temp, Gas, Noise Alert",10
297,2025-04-01 13:56:00,42.1,68.1,106.6,35.6,Gas Alert,0
298,2025-04-01 13:57:00,32.7,41.5,112.5,50.3,"Gas, Noise Alert",1
299,2025-04-01 13:58:00,44.1,70.3,135.8,60.9,"Gas, Noise Alert",1
300,2025-04-01 13:59:00,52.1,43.2,134.3,53.6,"Temp, Gas, Noise Alert",10
301,2025-04-01 14:00:00,50.1,56.2,115.6,45.6,"Temp, Gas Alert",9
302,2025-04-01 14:01:00,33.8,65.6,126.5,57.1,"Gas, Noise Alert",1
303,2025-04-01 14:02:00,51.6,83.0,95.4,50.8,"Temp, Humidity, Noise Alert",14
304,2025-04-01 14:03:00,39.6,56.0,121.6,51.6,"Gas, Noise Alert",1
305,2025-04-01 14:04:00,52.9,62.7,124.3,62.1,"Temp, Gas, Noise Alert",10
306,2025-04-01 14:05:00,49.3,67.1,89.1,43.2,Temp Alert,8
307,2025-04-01 14:06:00,48.3,73.8,83.8,42.4,Temp Alert,8
308,2025-04-01 14:07:00,43.7,52.3,119.3,54.4,"Gas, Noise Alert",1
309,2025-04-01 14:08:00,34.1,40.9,100.3,50.2,"Gas, Noise Alert",1
310,2025-04-01 14:09:00,49.9,70.6,127.6,41.2,"Temp, Gas Alert",9
